product,price,discount_price,discount_percentage,brand,seller,rating_stars,rating_quantity,shipping,installments,Delivered_by_platform,picture,url,price_new,discount_price_new,discount_percentage_new,rating_stars_new,rating_quantity_new
Colchon Simmons En Caja 190x140cm Color Blanco,1.240.994,306.128,75% OFF,SIMMONS,Por Simmons ,4.8,(8126),Llega gratis mañana,Mismo precio en 3 cuotas de $102.042,True,https://http2.mlstatic.com/D_Q_NP_2X_696474-MLU78661292586_092024-AB.webp,https://www.mercadolibre.com.ar/colchon-simmons-en-caja-190x140cm-color-blanco/p/MLA22938951?pdp_filters=item_id%3AMLA1407640474#polycard_client=offers&wid=MLA1407640474&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=14,1240994.0,306128.0,75,4.8,8126
Hidrolavadora Electrica Trent Hlt203 1400w Alta Presion 1600 Psi 110 Bar Con Accesorios,120.000,89.100,25% OFF,TRENT,Por TRENT ,4.8,(4494),Llega gratis mañana,en 6 cuotas de $20.390,True,https://http2.mlstatic.com/D_Q_NP_2X_792068-MLA83532728500_042025-AB.webp,https://www.mercadolibre.com.ar/hidrolavadora-electrica-trent-hlt203-1400w-alta-presion-1600-psi-110-bar-con-accesorios/p/MLA26994480?pdp_filters=item_id%3AMLA1797123216#polycard_client=offers&wid=MLA1797123216&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=15,120000.0,89100.0,25,4.8,4494
Kit Super Termico Frío Extremo + Guantes + Medias + Cuello,37.575,26.904,28% OFF,ALPINA,Por Alpina ,4.4,(6013),Llega mañana,en 6 cuotas de $6.156,True,https://http2.mlstatic.com/D_Q_NP_2X_627712-MLA46389255786_062021-AB.webp,https://articulo.mercadolibre.com.ar/MLA-917789892-kit-super-termico-frio-extremo-guantes-medias-cuello-_JM#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=16&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0,37575.0,26904.0,28,4.4,6013
Manta Térmica Eléctrica Calienta Cama 2 Plazas San Up 3 Niveles De Calor - Calentamiento Rápido,203.499,79.539,60% OFF,SAN-UP,Por SanUp ,4.8,(40),Envío gratis,en 6 cuotas de $18.202,False,https://http2.mlstatic.com/D_Q_NP_2X_788636-MLA84504704677_052025-AB.webp,https://www.mercadolibre.com.ar/manta-termica-electrica-calienta-cama-2-plazas-san-up-3-niveles-de-calor-calentamiento-rapido/p/MLA47077920?pdp_filters=item_id%3AMLA2058892234#polycard_client=offers&wid=MLA2058892234&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=17,203499.0,79539.0,60,4.8,40
Mac Mystery Box,329.880,131.952,60% OFF,MAC COSMETICS,Por MAC Cosmetics ,0,0,Envío gratis,Mismo precio en 3 cuotas de $43.984,False,https://http2.mlstatic.com/D_Q_NP_2X_734103-MLA86799426147_062025-AB.webp,https://articulo.mercadolibre.com.ar/MLA-1507162129-mac-mystery-box-_JM#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=18&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&wid=MLA1507162129&sid=offers,329880.0,131952.0,60,0.0,0
Kit 3 Camaras Seguridad Geotek Ip Wifi Domo Doble Lente 6mp Exterior Nocturna Color Blanco,299.999,179.999,40% OFF,GEOTEK,Por GEOTEK ,4.9,(25),Llega gratis mañana,Cuota promocionada en 6 cuotas de $34.025,True,https://http2.mlstatic.com/D_Q_NP_2X_897876-MLA86401057697_062025-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2FtL61%2F2VV1iLSmFS1m1uIjKZAWGzkg80A3YSS2sWWXJCjzw4L9Uxclcwn3I1ESE%2BJXHAJVUSVQkCkXuBk0xzH%2F6G8FxFHozcXmGnu4%2BPkugivLKhSe6eebXF3vxMIO4KvRLSup1FsVCC4S1nwUxlG7Maehoc9TMxPjjCzxUPdndFiO%2FI%2FOiIkASbk%2BpyhgNqdjSncjotvkXCdy6etLygH8m83BuRrHhFvslCfp9vLreK0GHY%2BNUsRGEkrpEVLizaINC4uEj47nOXEW964sa8tHfSgKGIVbc5v7ZvUzgWDicwNktmeEV2ecDBS8u4CzwdQoGaPfEewkpXNTfgJKrSuDB%2BDYj%2FvGNweyoFjfV9L26esDxYyBeuMV89qmlZAurGqf4grqZdTctiEgFshOPd%2BQsfhJcAJZIDwYlJ%2FP5V%2B5IHc4%2FG8nTCmOatBNqo0DKPn9sEkihKmwCLwgF7VbgjNZP85QGEK7rHZFs2pSk2%2BzUA2T%2F7HPWujAUDXhxMG%2FbczrLxMvZjTeG9AXJbpQs9c31cNIb1b%2FhNFUjt7dnhD3A%3D&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fkit-3-camaras-seguridad-geotek-ip-wifi-domo-doble-lente-6mp-exterior-nocturna-color-blanco%2Fp%2FMLA49916067%23wid%3DMLA2085379338%26sid%3Doffers%26searchVariation%3DMLA49916067%26position%3D16%26search_layout%3Dgrid%26deal_print_id%3Ddcfc8088-bfd1-4f1c-98f6-a536bd355358%26tracking_id%3Df34431f3-0e66-43c5-9a44-3562d99ba3a0&lm=-1841857366#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=3&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&wid=MLA2085379338&sid=offers,299999.0,179999.0,40,4.9,25
Notebook Lenovo Ideapad 1 Ryzen 5 7520u 8gb Ram Ddr5 Ssd 512gb Pantalla 15.6  Pulgadas Full Hd Windows 11 Color Gris,719.999,649.899,9% OFF,LENOVO,Por GEOTEK ,5.0,(1),Llega gratis mañana,en 6 cuotas de $148.729,False,https://http2.mlstatic.com/D_Q_NP_2X_931147-MLA84766832402_052025-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2F8dXYZJEP6yGUB1Ooh6AWpptiowem3icDdoFMiXOVh38OeaHk44p57Zn5gRVOFzuonwqZXWt1o4qUcVj%2BDx8KuUzPGOOebxtYWvT2HoXU5Zq8Es1oeRQBphGMInqi9e9fI6ExQu0uuxsHVJ64PdKMdWGYwuLp0%2BsCoPKbCcBn3GbBqHQ3WEfgwIk8EstjjOktSadZcmRupGDTKmoRJLUbWoFqjU41Y82CyMx9LJK79295wQvjiu2TC3JA%2FeQ7ZRnyqAs1AjVyUshyOy0tuGXsRg4aPRuMKYRfl9%2Bwl05g4DiaRRoHBkW2kjWDYRIZlyTsPvj%2Bb0j9Gjkc0uxqksuilBfJrrRyYSG6OLD8seG6mpPmOIIpwasvFVWnqzWWeCDWstoAx4jR2f0v6nsD%2FMMgh0y%2FWIpUlRof3qo4fTgKLqyUxGVV7cttFJY04rT9I3VwADua9SFKVoY9XASOYEkB9LCyR8nfDerfjhTagrnoUsamLu4XP9QP2TJQ63%2Ft5WFmHHl%2F5A3%2FJqQ52t%2Fp3pPxhqtdPGur%2FgZpl3yWDug5A%3D%3D&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fnotebook-lenovo-ideapad-1-ryzen-5-7520u-8gb-ram-ddr5-ssd-512gb-pantalla-156-pulgadas-full-hd-windows-11-color-gris%2Fp%2FMLA28347332%23wid%3DMLA1496338221%26sid%3Doffers%26searchVariation%3DMLA28347332%26position%3D17%26search_layout%3Dgrid%26deal_print_id%3Ddcfc8088-bfd1-4f1c-98f6-a536bd355358%26tracking_id%3Df34431f3-0e66-43c5-9a44-3562d99ba3a0&lm=389290173#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=4&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&wid=MLA1496338221&sid=offers,719999.0,649899.0,9,5.0,1
Colchón 1 Plaza Espuma Densidad Alta 80cm X 190cm Gamma Estelar,216.666,129.999,40% OFF,ESTELAR,Por Estelar ,4.5,(1711),Envío gratis,Mismo precio en 3 cuotas de $43.333,False,https://http2.mlstatic.com/D_Q_NP_2X_948018-MLA81665761206_012025-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=uzZCUfY%2Bj51rzq7PNo5MaUrVGHX1lb7XWR%2F7hs8TQibtUZLvK67sr9j8Ap6vhyX1BgSSGVTc%2B5tDUqde4Ko4m6pbP%2FkSoSyJQQ%2Fll64Snsk5UGZP8mssmRAWVrpcQy%2FpVanG2stvVzZUpPYOY3R%2FN%2BlSZLHoPW3mq5X5hdoCaA3nrAke8nwbjKy2xkcBCWvSUbxPCa6J5qXCNyaIMA0RyhowoDgAJy%2FvWq2DCdi6nV9EP5%2Fma275M3XqBbrJAGrsLyiC4ZqREn%2BOkujn7Z05vBJP17h%2FvXqCSrRiwdQF1MA93TvQ11Mo%2FrYRLvsOECQKaGypHodraz7PgF91xlLJe0S5oGi6aZx8NTrz%2BPm%2Fg0lPX%2FUOfrKEmPTGlIB3fpOFhu%2FgYhYsUwBtkdW9BHHCanyPreNLfcRqf%2FYhyo2iuOZoU9ULc3%2BC0GA83oG5JDrceM1XiwzSBYcY7TafypPE3vCDHGiSKT6FOSTaNPWoJmCJ1stROaqai2r6sbHnF7iacLb0gHO5tf3EVAyBMnvc6vkKQiFV1XDA%2FA9eUPY%3D&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fcolchon-1-plaza-espuma-densidad-alta-80cm-x-190cm-gamma-estelar%2Fp%2FMLA29504821%23wid%3DMLA1621801256%26sid%3Doffers%26searchVariation%3DMLA29504821%26position%3D18%26search_layout%3Dgrid%26deal_print_id%3Ddcfc8088-bfd1-4f1c-98f6-a536bd355358%26tracking_id%3Df34431f3-0e66-43c5-9a44-3562d99ba3a0&lm=-859903565#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=6&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&wid=MLA1621801256&sid=offers,216666.0,129999.0,40,4.5,1711
Samsung Galaxy A35 5g 256gb Awesome Navy 8gb Ram,899.999,479.999,46% OFF,SAMSUNG,Por TECHCEL ,4.8,(1835),Envío gratis,en 6 cuotas de $109.847,False,https://http2.mlstatic.com/D_Q_NP_2X_891383-MLU77717518407_072024-AB.webp,https://www.mercadolibre.com.ar/samsung-galaxy-a35-5g-256gb-awesome-navy-8gb-ram/p/MLA38284757?pdp_filters=item_id%3AMLA1882635744#polycard_client=offers&wid=MLA1882635744&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=19,899999.0,479999.0,46,4.8,1835
Liliana Cfb17 Convector Con Forzador Colo Blanco,98.099,82.499,15% OFF,LILIANA,Por PETENATTI HOGAR ,4.5,(1422),Llega gratis mañana,Cuota Simple en 6 cuotas de $15.709,True,https://http2.mlstatic.com/D_Q_NP_2X_621492-MLA80085898876_102024-AB.webp,https://www.mercadolibre.com.ar/liliana-cfb17-convector-con-forzador-colo-blanco/p/MLA9046740?pdp_filters=item_id%3AMLA1147504486#polycard_client=offers&wid=MLA1147504486&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=20,98099.0,82499.0,15,4.5,1422
