product,price,discount_price,discount_percentage,brand,seller,rating_stars,rating_quantity,shipping,installments,Delivered_by_platform,picture,url,price_new,discount_price_new,discount_percentage_new,rating_stars_new,rating_quantity_new
Colchon Balance Plus 140x190x25 Sleep Box Color Gris Y Blanco,787.250,337.998,57% OFF,SLEEPBOX,Por Sleep Box ,4.8,(1752),Llega gratis el lunes,Mismo precio en 3 cuotas de $112.666,False,https://http2.mlstatic.com/D_Q_NP_2X_979596-MLU76466396494_052024-AB.webp,https://www.mercadolibre.com.ar/colchon-balance-plus-140x190x25-sleep-box-color-gris-y-blanco/p/MLA27860806?pdp_filters=item_id%3AMLA1394398127#polycard_client=offers&wid=MLA1394398127&sid=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&position=14,787250.0,337998.0,57,4.8,1752
Soldadora Inverter Dual Mig Alambre Flux Electrodo Lusqtoff,469.284,266.355,43% OFF,LÜSQTOFF,Por Central de herramientas ,4.7,(533),Llega gratis mañana sábado,en 6 cuotas de $60.955,False,https://http2.mlstatic.com/D_Q_NP_2X_808083-MLA85489620921_052025-AB.webp,https://articulo.mercadolibre.com.ar/MLA-1421738975-soldadora-inverter-dual-mig-alambre-flux-electrodo-lusqtoff-_JM#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=15&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755,469284.0,266355.0,43,4.7,533
Aire Acondicionado Sansei Split Ultra Frío/calor Inverter 3500w/3053fg,1.293.999,599.999,53% OFF,SANSEI,Por Tienda Newsan ,4.7,(859),Envío gratis,en 6 cuotas de $137.309,False,https://http2.mlstatic.com/D_Q_NP_2X_768923-MLA84635792550_052025-AB.webp,https://www.mercadolibre.com.ar/aire-acondicionado-sansei-split-ultra-friocalor-inverter-3500w3053fg/p/MLA25265609?pdp_filters=item_id%3AMLA1495844971#polycard_client=offers&wid=MLA1495844971&sid=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&position=16,1293999.0,599999.0,53,4.7,859
Silla Gamer Ergonómica Reclinable Premium Para Pc Escritorio Negro Cuero Sintético Genérica,270.000,179.999,33% OFF,GENÉRICA,Por Mercado Libre ,4.7,(89),Llega gratis mañana sábado,Mismo precio en 3 cuotas de $59.999,True,https://http2.mlstatic.com/D_Q_NP_2X_961843-MLA85155867970_052025-AB.webp,https://www.mercadolibre.com.ar/silla-gamer-ergonomica-reclinable-premium-para-pc-escritorio-negro-cuero-sintetico-generica/p/MLA50745976?pdp_filters=item_id%3AMLA1501781519#polycard_client=offers&wid=MLA1501781519&sid=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&position=17,270000.0,179999.0,33,4.7,89
Kit Super Termico Frío Extremo + Guantes + Medias + Cuello,37.575,26.904,28% OFF,ALPINA,Por Alpina ,4.3,(6266),Llega mañana sábado,en 6 cuotas de $6.156,True,https://http2.mlstatic.com/D_Q_NP_2X_845369-MLA53543475560_012023-AB.webp,https://articulo.mercadolibre.com.ar/MLA-917789892-kit-super-termico-frio-extremo-guantes-medias-cuello-_JM#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=18&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755,37575.0,26904.0,28,4.3,6266
Soldadora Mini Daewoo Inverter Mma 100a + Pinzas,130.671,67.475,48% OFF,DAEWOO,Por Pideweb ,4.6,(787),Llega gratis hoy,en 6 cuotas de $15.441,False,https://http2.mlstatic.com/D_Q_NP_2X_724652-MLA80200093165_102024-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=mKr0xwFnIRrgMyTcoI4H3c%2FBn%2FKdeKvLRTYrid5M%2B5eCUtqiZUOkqndAAU%2Bx0xyhi4y%2BWHZGmKx2xFDb5P5DQpV774Lq44mjEEM9DVXsPTjAnfN3T5cAKmw4yr0bo112r0dD1ViLxwJN89MT67gV61vzNqyEVRccwFtXEqYMaF6SbWO9S1HjyP8wFHvoAgD5wO1a%2BMKPi2ObIk6Bj8YVzd8V7aUU2mtnjrjV8hUY6wVG1LveJNSe8lFlXnK51nJLJEl0Z%2FndIYklI9GNKTqKgRZ5khrrT1UhU4cVhAtfYGfOirIBwqXeTvIdtKVUq6LHMEsma5BZRmDBQjBAwTST7zaR6aC%2FNIJwNFx%2FYRcWQPF3mUaLYqheXIWeduGSZRMK3kWOBi295a1K%2FJfFgC0gVUyQacfMog481YtgCH9IHupuWsD9ogbgT3o6MI3QEDxV%2FOiHC1NDH4xO1cr0DS9Tdxzi%2FV1dQ3X9LK6zzTuWvck4DSsAqJMtilJfJrDqWJREChs%2BQK9EIk%2BcH4EbYDQffLyNgdtnksDTf2YRGWFVEA%3D%3D&url=https%3A%2F%2Farticulo.mercadolibre.com.ar%2FMLA-1118495973-soldadora-mini-daewoo-inverter-mma-100a-pinzas-_JM%23searchVariation%3D0%26position%3D16%26search_layout%3Dgrid%26deal_print_id%3D34fc018d-ccdb-42da-ad52-2c2779f42497%26tracking_id%3Dc7250f89-69b6-47bd-9599-609ec6151755&lm=-2103880731#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=2&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755,130671.0,67475.0,48,4.6,787
Silla De Oficina Pc Ejecutiva Escritorio Lumbar Blanca Zhome Color Blanco Material Del Tapizado Malla Z-103-b,99.999,73.266,26% OFF,ZHOME,Por Pideweb ,0,0,Llega gratis hoy,en 6 cuotas de $16.766,False,https://http2.mlstatic.com/D_Q_NP_2X_612235-MLA80325522651_102024-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=6ToZ5hIT6DKRruOBvegMXK%2FSZri1PfgAydTmcUZozrLHM6rFU4KUkxFuMQcs%2FcST0Dx9HJGJuAbUZ8UnIZDhpN17XzPBU9QGU%2F%2F6CW8L59T0IaJpN1q%2ByfYOW4D2hQgIPjHT%2BcNwyx2y5dHh3AZ53%2F1fZD5xZosJAkNOtLiEiP3ZEFnsnmU9%2FbQ7LNMMCKRQ4emN91w9KSl7iXuY5VZWS1WR5nLW%2B0o0qVOaWD2NNLOszr6qNV90ZtNtx7DXSKRQ0eHMP3SHbgq0eh8q7SJPCLI1NsGHi3CHDW%2F1GvYIGu93cSrEUorqUJDgI5bl7Vy6b%2B37H%2BIU3SAsP9cwfv2DFkex68fV4Z9cPzhkH3nbk9sC5d5N4%2Fr7PF2G99umHunE4mFxzKObyJahlDG4ZIoSTMUUlt9ZMPst6h5bPagkUbw3sPEqLnf28dXUzArkvJY3azqh4DecSbJAusaEsCI4ket34QDyUTV2um2ZcFKDsZm29qfbIHiBlsd9VAXqG2UUhU0GjenvOSvngHndaA0HR29Bk0tz3ROsE1vxq58q&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fsilla-de-oficina-pc-ejecutiva-escritorio-lumbar-blanca-zhome-color-blanco-material-del-tapizado-malla-z-103-b%2Fp%2FMLA42445941%23wid%3DMLA1948611338%26sid%3Doffers%26searchVariation%3DMLA42445941%26position%3D17%26search_layout%3Dgrid%26deal_print_id%3D34fc018d-ccdb-42da-ad52-2c2779f42497%26tracking_id%3Dc7250f89-69b6-47bd-9599-609ec6151755&lm=-2121886625#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=5&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&wid=MLA1948611338&sid=offers,99999.0,73266.0,26,0.0,0
Smart Tv Philco 40 Pulgadas Led Hd Vidaa Pld40hs24,563.999,455.429,19% OFF,PHILCO,Por Pideweb ,4.7,(41),Llega gratis hoy,Mismo precio en 12 cuotas de $37.952,False,https://http2.mlstatic.com/D_Q_NP_2X_768611-MLA79860910522_102024-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ijp060mQe2IhLUe88s0ztXHH5myJQQHz3%2FfUjGkzR4MrDMg4SCwxV0I%2FKz3n4U0uOlCT6vRuAmAj5O5taxy1%2F38F9qmJuxaKWZOXSmPEOHSVtUG4wrnMmiwC%2BNeS4A3P8hNruj3I9QkWm0D7E7uhKf%2Fc2dZVp%2BoGNMJYStI5z3tHDQgUhInKUp%2B%2BLc%2FjuzmNefrwxrxoBJQcrgra%2F4q9LoKY1WGRLKTQ%2Bxblxio%2Fnf90tYZkzUmutKr4kEexavrinlzysmZuMVaTTGssL4FgxhEMVXh1p%2F44AjcYOSMQzVK8xCDqdxq2AbbrlbkaOWn2ohxyNq%2FOA%2B7dBTZTq708Vnlc3xSwo%2Fk2M3FMOKn0OF5UcVBvxE6Q9ABRpfs7IeE%2FOgYvF52PWFRfjN1k6yXfftOOfqABZjMbxA4mt5hB53O9hLr9BgRIsRCLuNeFb87gQrfn9YG%2FWBon5T3icsZpryxv3NMdb4yDLvGwol8ld6j18g8VvkhqlgnHG59mUqZ55XEw1fBudj%2BFNjMOAO38H1%2BajpTpz9d1A4XA5K0q&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fsmart-tv-philco-40-pulgadas-led-hd-vidaa-pld40hs24%2Fp%2FMLA42160919%23wid%3DMLA1940522928%26sid%3Doffers%26searchVariation%3DMLA42160919%26position%3D18%26search_layout%3Dgrid%26deal_print_id%3D34fc018d-ccdb-42da-ad52-2c2779f42497%26tracking_id%3Dc7250f89-69b6-47bd-9599-609ec6151755&lm=1374659850#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=3&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&wid=MLA1940522928&sid=offers,563999.0,455429.0,19,4.7,41
Panel Calefactor Eléctrico Peabody Pe-vqm20 Negro P1,249.999,139.899,44% OFF,PEABODY,Por Pideweb ,4.5,(923),Llega gratis hoy,Mismo precio en 6 cuotas de $23.316,False,https://http2.mlstatic.com/D_Q_NP_2X_692996-MLA46870260601_072021-AB.webp,https://www.mercadolibre.com.ar/panel-calefactor-electrico-peabody-pe-vqm20-negro-p1/p/MLA7853011?pdp_filters=item_id%3AMLA2049059352#polycard_client=offers&wid=MLA2049059352&sid=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&position=19,249999.0,139899.0,44,4.5,923
Set X2 Almohadas Inteligentes Viscoelasticas 60x35 Con Funda,43.890,33.619,23% OFF,DIAZ HOME,Por Diaz Home ,4.0,(2785),Llega gratis mañana sábado,en 6 cuotas de $7.693,False,https://http2.mlstatic.com/D_Q_NP_2X_927477-MLA49416162312_032022-AB.webp,https://articulo.mercadolibre.com.ar/MLA-1390414395-set-x2-almohadas-inteligentes-viscoelasticas-60x35-con-funda-_JM#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=20&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755,43890.0,33619.0,23,4.0,2785
